valor,classe,dormitorios,banheiros,vagas_na_garagem,tipo_do_imovel,bairro,area_terreno,area_util,condominio,torres,portaria_hrs,elevador_social,suites,apartamento_por_andar,quantidade_de_andares,elevador_de_servico,salao_de_festa,iptu,lat,long,dist_centro
400000.0,Casa,4.0,2.0,2.0,Padrão,jardim dos estados,957.23,150.0,,,,,1.0,,,,,,-21.782685,-46.5596938,0.9218244817296424
2200000.0,Casa,4.0,4.0,4.0,Padrão,jardim dos estados,703.0,574.0,,,,,2.0,,,,,250.0,-21.782685,-46.5596938,0.9218244817296424
200000.0,Apartamento,2.0,1.0,1.0,Padrão,residencial veredas,,50.0,230.0,2.0,,2.0,,8.0,10.0,2.0,0.0,,-21.7916163,-46.608053999999996,4.338271910498164
350000.0,Terreno,,,,Padrão,jardim das hortencias,360.0,,,,,,,,,,,100.0,,,
550000.0,Casa,3.0,2.0,2.0,Padrão,jardim amaryllis,232.5,140.0,,,,,1.0,,,,,,,,
307000.0,Apartamento,2.0,2.0,2.0,Padrão,parque vivaldi leite ribeiro,,72.0,300.0,,,,1.0,,,,,,,,
3000000.0,Apartamento,5.0,4.0,,Predio comercial e Residencial,centro,277.57,,,,,,,,,,,,-21.7883799,-46.5661817,0.0
300000.0,Apartamento,2.0,2.0,1.0,Padrão,jardim dos estados,,60.0,100.0,1.0,,,1.0,,3.0,,,,-21.782685,-46.5596938,0.9218244817296424
600000.0,Apartamento,3.0,2.0,2.0,Padrão,jardim quisisana,,96.0,400.0,,,,1.0,,,,,,-21.7976825,-46.5658718,1.0348966711130358
500000.0,Casa,3.0,2.0,2.0,Padrão,jardim campos elisios,276.0,169.0,,,,,1.0,,,,,,,,
1600000.0,Casa,3.0,2.0,6.0,Padrão,jardim dos estados,580.0,320.0,,,,,1.0,,,,,,-21.782685,-46.5596938,0.9218244817296424
430000.0,Apartamento,3.0,2.0,2.0,Padrão,jardim elvira dias,,119.18,200.0,1.0,,1.0,1.0,4.0,8.0,,,86.04,,,
280000.0,Apartamento,2.0,1.0,1.0,Padrão,jardim ipe,,80.59,70.0,1.0,,,1.0,2.0,2.0,,,,-21.7997613,-46.547920487739646,2.27077756302452
650000.0,Casa,3.0,1.0,4.0,Padrão,jardim novo mundo,318.0,205.0,,,,,1.0,,,,,,-21.79088745,-46.588854457322576,2.3575175579789893
200000.0,Apartamento,2.0,1.0,,Padrão,centro,,30.5,280.0,,,,,10.0,3.0,,,,-21.7883799,-46.5661817,0.0
190000.0,Casa,1.0,1.0,1.0,Padrão,conjunto habitacional pedro afonso junqueira,,57.28,,,,,,,,,,19.38,,,
994000.0,Apartamento,3.0,2.0,2.0,Lançamento,sao benedito,,171.0,,1.0,24.0,1.0,3.0,2.0,14.0,1.0,,,-21.8558599,-46.5716661,7.524761037575668
280000.0,Casa,3.0,3.0,3.0,Padrão,jardim imperial,234.0,120.0,,,,,1.0,,,,,,,,
