endereço_casa,preco_casa,metros_casa,quartos_casa,banheiros_casa,vagas_casa
 Residencial Lagos D Icaraí ,760000.0,124,3,3,4
 CONDOMINIO ZULEIKA JABOUR,475000.0,290,3,4,2
 SP,700000.0,110,3,2,2
 Jardim das Nações,1562000.0,317,5,4,4
 SP,913000.0,163,3,3,2
 Village Moutonnee,550000.0,132,2,3,2
 Jardim Santa Marta,435000.0,105,3,2,4
 Loteamento Jardim das Constelacoes,950000.0,35,1,1,2
 SP,6000.0,50,2,1,2
 Residencial São Bento,1100000.0,198,3,3,2
 Buru,210000.0,113,3,3,2
 SP,1650000.0,124,3,2,2
 Jardim Nair Maria,645000.0,206,3,3,2
 SP,380000.0,180,2,2,18
 CONDOMINIO ZULEIKA JABOUR,730000.0,100,2,1,2
 SP,165000.0,363,4,4,4
 Residencial Primavera,180000.0,395,3,4,3
 Jardim Saltense,480000.0,100,2,1,1
 Residencial São Gabriel,645000.0,80,2,1,2
 Village Moutonnee,950000.0,320,4,6,4
 Jardim Panorama,320000.0,125,3,2,2
 SP,1350000.0,85,2,2,2
 Loteamento Terras de Sao Pedro e Sao Paulo,1150000.0,105,3,2,2
 Jardim Elizabeth,270000.0,132,2,2,2
 Jardim Panorama,1499999.0,380,4,6,2
 Residencial Porto Seguro,300000.0,178,3,2,2
 Jardim Elizabeth,320000.0,130,3,1,2
 Urb Salto de São José,650000.0,183,3,2,4
 Residencial Lagos D Icaraí ,415000.0,360,4,5,2
 Village Moutonnee,1590000.0,219,3,2,2
 Jardim D'icarai,750000.0,180,3,2,2
 Residencial Lagos D Icaraí ,1060000.0,300,4,3,4
 CONDOMINIO ZULEIKA JABOUR,760000.0,308,3,4,2
 SP,475000.0,164,3,3,4
 Jardim das Nações,700000.0,100,2,2,2
 SP,1562000.0,199,3,3,2
 Village Moutonnee,913000.0,124,3,3,4
 Jardim Santa Marta,550000.0,290,3,4,2
 Loteamento Jardim das Constelacoes,435000.0,110,3,2,2
 SP,950000.0,317,5,4,4
 Residencial São Bento,6000.0,163,3,3,2
 Buru,1100000.0,132,2,3,2
 SP,210000.0,105,3,2,4
 Jardim Nair Maria,1650000.0,35,1,1,2
 SP,645000.0,50,2,1,2
 CONDOMINIO ZULEIKA JABOUR,380000.0,198,3,3,2
 SP,730000.0,113,3,3,2
 Residencial Primavera,165000.0,124,3,2,2
 Jardim Saltense,180000.0,206,3,3,2
 Residencial São Gabriel,480000.0,180,2,2,18
 Village Moutonnee,645000.0,100,2,1,2
 Jardim Panorama,950000.0,363,4,4,4
 SP,320000.0,395,3,4,3
 Loteamento Terras de Sao Pedro e Sao Paulo,1350000.0,100,2,1,1
 Jardim Elizabeth,1150000.0,80,2,1,2
 Jardim Panorama,270000.0,320,4,6,4
 Residencial Porto Seguro,1499999.0,125,3,2,2
 Jardim Elizabeth,300000.0,85,2,2,2
 Urb Salto de São José,320000.0,105,3,2,2
 Residencial Lagos D Icaraí ,650000.0,132,2,2,2
 Village Moutonnee,415000.0,380,4,6,2
 Jardim D'icarai,1590000.0,178,3,2,2
 Residencial Lagos D Icaraí ,750000.0,130,3,1,2
 CONDOMINIO ZULEIKA JABOUR,1060000.0,183,3,2,4
 SP,760000.0,360,4,5,2
 Jardim das Nações,475000.0,219,3,2,2
 SP,700000.0,180,3,2,2
 Village Moutonnee,1562000.0,300,4,3,4
 Jardim Santa Marta,913000.0,308,3,4,2
 Loteamento Jardim das Constelacoes,550000.0,164,3,3,4
 SP,435000.0,100,2,2,2
 Residencial São Bento,950000.0,199,3,3,2
 Buru,6000.0,124,3,3,4
 SP,1100000.0,290,3,4,2
 Jardim Nair Maria,210000.0,110,3,2,2
 SP,1650000.0,317,5,4,4
 CONDOMINIO ZULEIKA JABOUR,645000.0,163,3,3,2
 SP,380000.0,132,2,3,2
 Residencial Primavera,730000.0,105,3,2,4
 Jardim Saltense,165000.0,35,1,1,2
 Residencial São Gabriel,180000.0,50,2,1,2
 Village Moutonnee,480000.0,198,3,3,2
 Jardim Panorama,645000.0,113,3,3,2
 SP,950000.0,124,3,2,2
 Loteamento Terras de Sao Pedro e Sao Paulo,320000.0,206,3,3,2
 Jardim Elizabeth,1350000.0,180,2,2,18
 Jardim Panorama,1150000.0,100,2,1,2
 Residencial Porto Seguro,270000.0,363,4,4,4
 Jardim Elizabeth,1499999.0,395,3,4,3
 Urb Salto de São José,300000.0,100,2,1,1
 Residencial Lagos D Icaraí ,320000.0,80,2,1,2
 Village Moutonnee,650000.0,320,4,6,4
 Jardim D'icarai,415000.0,125,3,2,2
 Residencial Lagos D Icaraí ,1590000.0,85,2,2,2
 CONDOMINIO ZULEIKA JABOUR,750000.0,105,3,2,2
 SP,1060000.0,132,2,2,2
 Jardim das Nações,760000.0,380,4,6,2
 SP,475000.0,178,3,2,2
 Village Moutonnee,700000.0,130,3,1,2
 Jardim Santa Marta,1562000.0,183,3,2,4
 Loteamento Jardim das Constelacoes,913000.0,360,4,5,2
 SP,550000.0,219,3,2,2
 Residencial São Bento,435000.0,180,3,2,2
 Buru,950000.0,300,4,3,4
 SP,6000.0,308,3,4,2
 Jardim Nair Maria,1100000.0,164,3,3,4
 SP,210000.0,100,2,2,2
 CONDOMINIO ZULEIKA JABOUR,1650000.0,199,3,3,2
 SP,645000.0,124,3,3,4
 Residencial Primavera,380000.0,290,3,4,2
 Jardim Saltense,730000.0,110,3,2,2
 Residencial São Gabriel,165000.0,317,5,4,4
 Village Moutonnee,180000.0,163,3,3,2
 Jardim Panorama,480000.0,132,2,3,2
 SP,645000.0,105,3,2,4
 Loteamento Terras de Sao Pedro e Sao Paulo,950000.0,35,1,1,2
 Jardim Elizabeth,320000.0,50,2,1,2
 Jardim Panorama,1350000.0,198,3,3,2
 Residencial Porto Seguro,1150000.0,113,3,3,2
 Jardim Elizabeth,270000.0,124,3,2,2
 Urb Salto de São José,1499999.0,206,3,3,2
 Residencial Lagos D Icaraí ,300000.0,180,2,2,18
 Village Moutonnee,320000.0,100,2,1,2
 Jardim D'icarai,650000.0,363,4,4,4
 Residencial Lagos D Icaraí ,415000.0,395,3,4,3
 CONDOMINIO ZULEIKA JABOUR,1590000.0,100,2,1,1
 SP,750000.0,80,2,1,2
 Jardim das Nações,1060000.0,320,4,6,4
 SP,760000.0,125,3,2,2
 Village Moutonnee,475000.0,85,2,2,2
 Jardim Santa Marta,700000.0,105,3,2,2
 Loteamento Jardim das Constelacoes,1562000.0,132,2,2,2
 SP,913000.0,380,4,6,2
 Residencial São Bento,550000.0,178,3,2,2
 Buru,435000.0,130,3,1,2
 SP,950000.0,183,3,2,4
 Jardim Nair Maria,6000.0,360,4,5,2
 SP,1100000.0,219,3,2,2
 CONDOMINIO ZULEIKA JABOUR,210000.0,180,3,2,2
 SP,1650000.0,300,4,3,4
 Residencial Primavera,645000.0,308,3,4,2
 Jardim Saltense,380000.0,164,3,3,4
 Residencial São Gabriel,730000.0,100,2,2,2
 Village Moutonnee,165000.0,199,3,3,2
 Jardim Panorama,180000.0,124,3,3,4
 SP,480000.0,290,3,4,2
 Loteamento Terras de Sao Pedro e Sao Paulo,645000.0,110,3,2,2
 Jardim Elizabeth,950000.0,317,5,4,4
 Jardim Panorama,320000.0,163,3,3,2
 Residencial Porto Seguro,1350000.0,132,2,3,2
 Jardim Elizabeth,1150000.0,105,3,2,4
 Urb Salto de São José,270000.0,35,1,1,2
 Residencial Lagos D Icaraí ,1499999.0,50,2,1,2
 Village Moutonnee,300000.0,198,3,3,2
 Jardim D'icarai,320000.0,113,3,3,2
 Residencial Lagos D Icaraí ,650000.0,124,3,2,2
 CONDOMINIO ZULEIKA JABOUR,415000.0,206,3,3,2
 SP,1590000.0,180,2,2,18
 Jardim das Nações,750000.0,100,2,1,2
 SP,1060000.0,363,4,4,4
 Village Moutonnee,760000.0,395,3,4,3
 Jardim Santa Marta,475000.0,100,2,1,1
 Loteamento Jardim das Constelacoes,700000.0,80,2,1,2
 SP,1562000.0,320,4,6,4
 Residencial São Bento,913000.0,125,3,2,2
 Buru,550000.0,85,2,2,2
 SP,435000.0,105,3,2,2
 Jardim Nair Maria,950000.0,132,2,2,2
 SP,6000.0,380,4,6,2
 CONDOMINIO ZULEIKA JABOUR,1100000.0,178,3,2,2
 SP,210000.0,130,3,1,2
 Residencial Primavera,1650000.0,183,3,2,4
 Jardim Saltense,645000.0,360,4,5,2
 Residencial São Gabriel,380000.0,219,3,2,2
 Village Moutonnee,730000.0,180,3,2,2
 Jardim Panorama,165000.0,300,4,3,4
 SP,180000.0,308,3,4,2
 Loteamento Terras de Sao Pedro e Sao Paulo,480000.0,164,3,3,4
 Jardim Elizabeth,645000.0,100,2,2,2
 Jardim Panorama,950000.0,199,3,3,2
 Residencial Porto Seguro,320000.0,124,3,3,4
 Jardim Elizabeth,1350000.0,290,3,4,2
 Urb Salto de São José,1150000.0,110,3,2,2
 Residencial Lagos D Icaraí ,270000.0,317,5,4,4
 Village Moutonnee,1499999.0,163,3,3,2
 Jardim D'icarai,300000.0,132,2,3,2
 Residencial Lagos D Icaraí ,320000.0,105,3,2,4
 CONDOMINIO ZULEIKA JABOUR,650000.0,35,1,1,2
 SP,415000.0,50,2,1,2
 Jardim das Nações,1590000.0,198,3,3,2
 SP,750000.0,113,3,3,2
 Village Moutonnee,1060000.0,124,3,2,2
 Jardim Santa Marta,760000.0,206,3,3,2
 Loteamento Jardim das Constelacoes,475000.0,180,2,2,18
 SP,700000.0,100,2,1,2
 Residencial São Bento,1562000.0,363,4,4,4
 Buru,913000.0,395,3,4,3
 SP,550000.0,100,2,1,1
 Jardim Nair Maria,435000.0,80,2,1,2
 SP,950000.0,320,4,6,4
 CONDOMINIO ZULEIKA JABOUR,6000.0,125,3,2,2
 SP,1100000.0,85,2,2,2
 Residencial Primavera,210000.0,105,3,2,2
 Jardim Saltense,1650000.0,132,2,2,2
